horizon,root_category,test_rows,wait_rows,buy_now_rows,false_wait_rows,missed_drop_rows,false_wait_rate_among_wait,missed_drop_rate_among_buy_now,actual_drop_rate,avg_predicted_probability
7,Appliances,4216,28,3468,12,514,0.4286,0.1482,0.1978,0.1921
7,Electronics,18776,717,14064,193,2066,0.2692,0.1469,0.2401,0.2376
7,Home & Kitchen,37940,737,31054,145,3657,0.1967,0.1178,0.1939,0.182
7,Sports & Outdoors,18759,218,16365,58,1841,0.2661,0.1125,0.1614,0.1521
7,Tools & Home Improvement,18359,884,15278,233,1613,0.2636,0.1056,0.1776,0.1827
7,Toys & Games,7378,134,6513,20,691,0.1493,0.1061,0.1591,0.1472
14,Appliances,3957,587,2591,182,446,0.3101,0.1721,0.3146,0.3025
14,Electronics,17698,4001,9939,1141,1721,0.2852,0.1732,0.3613,0.3602
14,Home & Kitchen,35644,6039,23660,1465,3347,0.2426,0.1415,0.3057,0.2865
14,Sports & Outdoors,17499,1869,12789,613,1874,0.328,0.1465,0.262,0.2453
14,Tools & Home Improvement,17253,2453,12097,700,1705,0.2854,0.1409,0.2698,0.2723
14,Toys & Games,6923,625,5205,159,778,0.2544,0.1495,0.2542,0.2344
30,Appliances,3365,1102,1410,222,245,0.2015,0.1738,0.4722,0.4287
30,Electronics,15234,6743,4653,1759,825,0.2609,0.1773,0.4917,0.5052
30,Home & Kitchen,30396,9773,14797,1912,2612,0.1956,0.1765,0.4378,0.4089
30,Sports & Outdoors,14631,3670,8059,892,1448,0.2431,0.1797,0.3789,0.3564
30,Tools & Home Improvement,14725,4213,7635,1032,1211,0.245,0.1586,0.39,0.3857
30,Toys & Games,5895,1362,3358,395,677,0.29,0.2016,0.3656,0.3418
