threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,horizon
0.25,0.7865,0.4433,0.6244,0.5185,0.8093,0.507,171686,36914,17678,29393,7
0.24,0.7811,0.4356,0.6401,0.5184,0.8093,0.507,169568,39032,16942,30129,7
0.23,0.7752,0.4279,0.656,0.518,0.8093,0.507,167320,41280,16191,30880,7
0.26,0.7911,0.4503,0.6087,0.5176,0.8093,0.507,173623,34977,18420,28651,7
0.27,0.796,0.4582,0.593,0.5169,0.8093,0.507,175591,33009,19158,27913,7
0.29,0.748,0.5487,0.7201,0.6228,0.8138,0.6421,138064,43750,20671,53186,14
0.28,0.7439,0.542,0.7318,0.6228,0.8138,0.6421,136139,45675,19807,54050,14
0.3,0.7521,0.5557,0.7077,0.6226,0.8138,0.6421,140021,41793,21587,52270,14
0.31,0.7557,0.5623,0.6969,0.6224,0.8138,0.6421,141751,40063,22387,51470,14
0.32,0.7589,0.5686,0.6859,0.6218,0.8138,0.6421,143380,38434,23199,50658,14
0.33,0.7256,0.6363,0.803,0.71,0.8205,0.7678,99632,49086,21064,85865,30
0.34,0.7291,0.6428,0.7926,0.7099,0.8205,0.7678,101630,47088,22177,84752,30
0.35,0.7322,0.6493,0.7821,0.7095,0.8205,0.7678,103549,45169,23299,83630,30
0.32,0.7214,0.6292,0.8128,0.7093,0.8205,0.7678,97506,51212,20015,86914,30
0.36,0.7351,0.6558,0.7716,0.709,0.8205,0.7678,105408,43310,24419,82510,30
